№;B;b;t;m;A;R;r;Jx;Wx;ix;Jy;Wy;iy;Jx0;ix0;Jy0;Wy0;iy0;Jxy;x0;y0
200_200_13;0.2;0.2;0.013;39.9;0.005085;0.018;0.006;0.000019608;0.0001344;0.0621;0.000019608;0.0001344;0.0621;0.00003116;0.0783;0.000008054;0.0001051;0.0398;0.00001156;0.0542;0.0542
200_200_14;0.2;0.2;0.014;42.8;0.00546;0.018;0.006;0.00002097;0.0001442;0.062;0.00002097;0.0001442;0.062;0.00003333;0.0781;0.00000861;0.0001115;0.0397;0.00001236;0.0546;0.0546
200_200_16;0.2;0.2;0.016;48.7;0.006198;0.018;0.006;0.000023626;0.0001634;0.0617;0.000023626;0.0001634;0.0617;0.00003755;0.0778;0.000009697;0.0001238;0.0396;0.00001393;0.0554;0.0554
200_200_20;0.2;0.2;0.02;60.1;0.007654;0.018;0.006;0.000028715;0.0002007;0.0612;0.000028715;0.0002007;0.0612;0.0000456;0.0772;0.000011819;0.0001466;0.0393;0.00001689;0.057;0.057
200_200_24;0.2;0.2;0.024;71.3;0.009078;0.018;0.006;0.000033507;0.0002368;0.0608;0.000033507;0.0002368;0.0608;0.000053135;0.0765;0.000013877;0.0001677;0.0391;0.00001963;0.0585;0.0585
200_200_25;0.2;0.2;0.025;74;0.009429;0.018;0.006;0.000034662;0.0002456;0.0606;0.000034662;0.0002456;0.0606;0.00005494;0.0763;0.000014384;0.0001727;0.0391;0.00002028;0.0589;0.0589
200_200_30;0.2;0.2;0.03;87.6;0.011154;0.018;0.006;0.000040196;0.0002886;0.06;0.000040196;0.0002886;0.06;0.00006351;0.0755;0.000016982;0.0001931;0.0389;0.00002332;0.0607;0.0607
220_220_14;0.22;0.22;0.014;47.4;0.006037;0.021;0.007;0.00002814;0.0001752;0.0683;0.00002814;0.0001752;0.0683;0.0000447;0.086;0.00001159;0.0001386;0.0438;0.00001655;0.0591;0.0591
220_220_16;0.22;0.22;0.016;53.8;0.006858;0.021;0.007;0.00003175;0.0001987;0.0681;0.00003175;0.0001987;0.0681;0.00005045;0.0858;0.00001306;0.0001533;0.0436;0.00001869;0.0602;0.0602
250_250_16;0.25;0.25;0.016;61.5;0.007832;0.024;0.008;0.00004717;0.0002584;0.0776;0.00004717;0.0002584;0.0776;0.00007492;0.0978;0.00001942;0.0002035;0.0498;0.00002775;0.0675;0.0675
250_250_18;0.25;0.25;0.018;68.9;0.008775;0.024;0.008;0.00005247;0.0002888;0.0773;0.00005247;0.0002888;0.0773;0.00008337;0.0975;0.00002158;0.0002234;0.0496;0.00003089;0.0683;0.0683
250_250_20;0.25;0.25;0.02;76.1;0.009692;0.024;0.008;0.00005765;0.0003188;0.0771;0.00005765;0.0003188;0.0771;0.0000916;0.0972;0.0000237;0.0002425;0.0494;0.00003395;0.0691;0.0691
250_250_22;0.25;0.25;0.022;83.3;0.010608;0.024;0.008;0.0000627;0.0003483;0.0769;0.0000627;0.0003483;0.0769;0.00009961;0.0969;0.00002579;0.0002605;0.0493;0.00003691;0.07;0.07
250_250_25;0.25;0.25;0.025;94;0.011971;0.024;0.008;0.00007006;0.0003917;0.0765;0.00007006;0.0003917;0.0765;0.00011125;0.0964;0.00002887;0.0002871;0.0491;0.00004119;0.0711;0.0711
250_250_28;0.25;0.25;0.028;104.5;0.013308;0.024;0.008;0.00007717;0.0004343;0.0761;0.00007717;0.0004343;0.0761;0.00012244;0.0959;0.0000319;0.000312;0.0489;0.00004527;0.0723;0.0723
250_250_30;0.25;0.25;0.03;111.4;0.014187;0.024;0.008;0.00008177;0.0004621;0.0759;0.00008177;0.0004621;0.0759;0.00012965;0.0956;0.00003389;0.0003278;0.0489;0.00004788;0.0731;0.0731
